Word,Count
sql,207
excel,137
microsoft,107
tableau,98
ms,90
bi,76
office,74
python,68
power,65
powerpoint,55
oracle,52
sap,46
r,44
google,38
java,38
server,37
sas,33
word,33
aws,32
,30
hadoop,27
services,25
data,24
javascript,23
ssis,23
analytics,22
mysql,20
spark,20
qlikview,19
informatica,19
agile,19
c#,18
suite,17
amazon,17
php,16
ssrs,15
linux,14
ibm,14
salesforce,13
business,13
hive,13
scrum,13
cognos,12
web,12
html,12
qlik,11
spss,11
cloud,11
vba,11
c,11
azure,10
studio,10
objects,10
nosql,10
reporting,9
powerbi,9
css,9
query,9
redshift,9
management,9
crystal,9
sharepoint,9
git,9
365,8
reports,8
pivot,8
tables,8
tsql,8
ssas,7
etl,7
outlook,7
access,7
apache,7
#,7
powercenter,7
mongodb,7
metabase,7
angular,6
service,6
scripting,6
microstrategy,6
careersnielsencom,6
windows,6
enterprise,6
programming,6
xml,6
postgresql,6
crm,6
visual,5
script,5
sybase,5
impala,5
eg,5
plsql,5
android,5
html5,4
dynamics,4
apps,4
pandas,4
numpy,4
