Word,Count
excel,46
sql,45
python,35
ms,31
microsoft,31
office,25
tableau,22
r,18
aws,17
google,14
power,13
bi,13
sap,13
word,13
powerpoint,12
,11
git,10
java,10
linux,9
azure,8
nosql,8
gcp,8
mysql,8
cloud,7
server,7
redshift,6
javascript,5
analytics,5
spark,5
scrum,5
agile,5
postgresql,5
service,4
hadoop,4
rdbms,4
mongodb,4
elasticsearch,4
bigquery,4
powershell,3
vba,3
tensorflow,3
vmware,3
sccm,3
ivanti,3
kace,3
html,3
jira,3
data,3
amazon,2
suite,2
c,2
visual,2
dynamics,2
365,2
outlook,2
pandas,2
matlab,2
qlikview,2
etl,2
metabase,2
object,2
world,2
gresik,2
holistics,2
github,2
gsuite,2
laguna,2
active,2
directory,2
unix,2
seo,2
sem,2
sketch,2
optimize,2
diploma,2
keras,2
cicd,2
jenkins,2
airflow,2
luigi,2
script,2
agricultureaquacultureforestry,2
services,2
osisoft,1
pi,1
salesforce,1
rackspace,1
accounting,1
site,1
vpn,1
cad,1
oscilloscope,1
c++,1
communication,1
skills,1
teams,1
wordpress,1
attend,1
meetings,1
trello,1
