Word,Count
sql,309
excel,254
ms,181
tableau,151
python,139
microsoft,122
power,100
office,94
bi,94
r,91
,83
word,63
oracle,58
powerpoint,54
server,51
java,45
google,42
hadoop,36
linux,34
sap,32
pivot,28
analytics,27
hive,27
spark,26
sas,25
access,23
aws,23
azure,23
mysql,21
powerbi,20
agile,19
suite,17
data,17
javascript,17
vba,16
php,16
qlikview,15
spss,14
c#,14
salesforce,13
bigquery,13
cloud,13
windows,13
services,12
studio,12
unix,12
postgresql,12
visual,11
matlab,11
scrum,11
jira,11
git,11
amazon,10
vlookup,10
query,9
sharepoint,9
stata,9
database,9
ssas,9
scripting,8
c++,8
db,8
cloudera,8
object,8
rdbms,8
ssrs,8
business,7
objects,7
qliksense,7
point,7
plsql,7
mssql,7
postgre,7
metabase,7
android,7
ssis,7
macros,6
alteryx,6
kafka,6
looker,6
administration,6
nosql,6
hdfs,6
jquery,6
tsql,6
cognos,6
web,5
sheets,5
dashboards,5
mapreduce,5
redshift,5
management,5
outlook,5
script,5
hbase,5
pig,5
etl,5
table,5
programming,5
html5,5
