Word,Count
sql,187
python,168
java,128
linux,102
hadoop,93
microsoft,90
spark,79
aws,73
azure,68
office,61
kafka,53
server,50
ms,49
mysql,47
,46
google,45
hive,42
windows,41
oracle,41
cloud,40
excel,40
scala,40
javascript,39
nosql,38
c++,37
tableau,35
power,33
services,33
git,32
data,31
r,31
apache,30
agile,29
unix,29
c,28
kubernetes,28
php,26
hbase,26
word,23
gcp,23
postgresql,22
shell,21
web,21
c#,20
golang,20
sap,19
mongodb,19
bi,18
365,17
jenkins,17
informatica,17
amazon,17
cloudera,17
cicd,17
cassandra,17
docker,17
html,17
management,16
vpn,16
vmware,16
talend,16
scripting,16
jira,16
rdbms,16
etl,16
hdfs,16
impala,16
elasticsearch,16
scrum,15
s3,14
flink,14
ssis,14
powerpoint,13
pandas,13
perl,13
selenium,12
redshift,12
operating,11
development,11
angular,11
css,11
go,11
json,11
storm,10
redis,10
airflow,9
mobile,9
android,9
pig,9
pyspark,9
nifi,9
diploma,9
quality,9
sas,9
hortonworks,9
html5,9
active,8
directory,8
security,8
bgp,8
