Word,Count
python,1084
sql,994
r,618
spark,405
hadoop,367
java,354
tableau,340
excel,331
ms,257
aws,246
microsoft,224
hive,221
google,193
bi,188
linux,182
power,178
sas,177
c++,174
,172
azure,170
nosql,162
scala,157
mysql,155
office,130
tensorflow,126
c,118
javascript,112
data,109
oracle,102
server,96
apache,95
kafka,93
cloud,90
pandas,86
pyspark,86
git,82
analytics,77
scikitlearn,74
powerpoint,74
word,72
agile,68
hbase,66
keras,64
spss,60
services,60
postgresql,59
mongodb,59
sap,58
matlab,57
etl,57
unix,57
talend,54
gcp,54
airflow,54
mapreduce,53
c#,53
amazon,52
numpy,51
cloudera,51
powerbi,49
redshift,48
studio,47
kubernetes,44
scrum,43
hdfs,42
elasticsearch,42
html,41
presto,41
informatica,41
business,40
jira,40
objects,39
alteryx,39
cassandra,39
web,38
pig,38
scripting,37
shell,37
ssis,35
jupyter,34
pytorch,34
rdbms,33
salesforce,32
ggplot,32
visual,32
vba,32
bigquery,31
jenkins,31
suite,31
stata,30
s3,30
platform,29
qlikview,29
impala,29
css,29
access,28
php,27
cicd,27
docker,27
ml,26
