Word,Count
sql,403
python,271
java,166
excel,165
r,130
tableau,109
ms,109
linux,101
mysql,91
microsoft,90
google,89
aws,86
hadoop,81
spark,75
server,71
oracle,69
office,69
,64
bi,62
power,56
postgresql,54
nosql,53
azure,53
cloud,51
javascript,51
git,48
apache,47
word,45
powerpoint,44
hive,42
gcp,40
analytics,39
php,37
agile,37
android,36
services,34
sap,32
c#,32
kafka,32
windows,32
web,31
mongodb,31
c,31
scrum,31
html,31
amazon,29
studio,28
sas,27
scikitlearn,27
data,27
metabase,26
pandas,26
ssis,26
rdbms,25
c++,25
golang,23
phyton,22
ibm,21
css,21
unix,20
airflow,19
json,19
pivot,18
cassandra,17
postgre,17
db,17
jupyter,16
scala,16
bigquery,16
elasticsearch,16
etl,16
kubernetes,15
query,15
programming,15
cloudera,14
numpy,14
talend,14
cicd,14
pentaho,14
xml,14
matlab,13
spss,13
notebook,13
jira,13
jenkins,13
database,13
tensorflow,12
redshift,12
docker,12
object,12
html5,12
cognos,11
pyspark,11
mapreduce,11
tsql,11
product,11
go,11
redis,11
service,10
s3,10
