Word,Count
sql,591
python,501
java,249
r,219
spark,217
hadoop,204
tableau,193
excel,178
linux,165
microsoft,165
aws,144
hive,127
oracle,117
ms,116
bi,111
power,104
,96
scala,95
google,90
c++,90
mysql,89
office,87
azure,84
nosql,80
server,79
javascript,70
services,69
data,68
sas,66
kafka,63
cloud,57
tensorflow,56
git,56
amazon,55
apache,54
unix,53
c,52
powerpoint,48
web,45
word,43
pyspark,43
c#,42
talend,42
agile,41
sap,41
pandas,40
postgresql,40
hbase,40
informatica,39
windows,39
etl,36
cloudera,36
analytics,35
html,35
scripting,33
hdfs,33
php,32
ssis,32
scikitlearn,32
mongodb,30
keras,29
shell,29
db,27
studio,27
jira,27
gcp,27
numpy,26
elasticsearch,26
mapreduce,25
salesforce,25
kubernetes,25
rdbms,24
powerbi,23
s3,23
airflow,23
cognos,23
redshift,23
presto,23
css,22
scrum,22
suite,22
jenkins,22
ibm,22
bigquery,21
alteryx,21
golang,21
pig,19
pivot,19
spss,19
cicd,18
impala,18
cassandra,18
xml,18
ruby,17
platform,17
yarn,17
visual,17
selenium,17
plsql,17
jupyter,16
