Word,Count
sql,510
python,425
excel,279
r,246
ms,222
microsoft,195
tableau,180
power,146
bi,145
google,132
hadoop,130
java,126
spark,122
office,113
,109
azure,108
aws,105
hive,81
server,77
sas,77
data,72
oracle,69
c++,68
mysql,66
word,65
linux,65
nosql,65
javascript,59
c,58
powerpoint,55
scala,54
agile,47
sap,47
analytics,45
tensorflow,40
cloud,39
spss,36
suite,34
pyspark,32
hbase,30
kafka,30
powerbi,29
git,29
scrum,28
vba,28
services,28
ssis,28
php,27
access,27
cloudera,27
pandas,26
mongodb,26
studio,24
postgresql,24
informatica,24
etl,23
business,22
pivot,22
unix,22
gcp,22
objects,21
apache,21
cassandra,21
alteryx,20
amazon,20
365,20
windows,20
c#,20
keras,19
pig,19
scripting,19
kubernetes,19
redshift,18
cognos,18
html,18
visual,17
numpy,17
ssrs,17
scikitlearn,17
mapreduce,16
qlikview,16
crm,16
sheets,16
rdbms,16
elasticsearch,16
hdfs,16
ggplot,15
css,15
databricks,15
sharepoint,15
plsql,15
talend,14
management,14
ssas,14
pytorch,14
airflow,14
statistics,13
impala,13
d3js,13
html5,13
