Word,Count
python,852
sql,759
r,464
tableau,348
spark,341
hadoop,322
java,272
excel,209
hive,173
aws,159
,158
ms,156
microsoft,155
scala,154
c++,152
bi,142
linux,140
power,140
sas,136
nosql,127
azure,109
tensorflow,101
kafka,101
server,92
oracle,89
c,88
data,81
pyspark,77
google,76
apache,74
mysql,70
hbase,63
office,63
cloud,61
sap,57
informatica,55
powerpoint,53
spss,52
pandas,50
c#,50
word,50
kubernetes,49
keras,49
git,49
matlab,48
powerbi,48
qlikview,46
agile,45
javascript,44
scikitlearn,44
elasticsearch,42
cloudera,42
hdfs,41
shell,40
presto,39
etl,37
alteryx,36
pytorch,36
airflow,36
mongodb,36
impala,35
services,35
stata,34
unix,34
numpy,34
gcp,32
redshift,32
scripting,31
bigquery,31
qlik,30
analytics,29
jenkins,29
flink,29
pig,28
ssis,28
cassandra,27
jira,27
script,27
cicd,26
cognos,25
docker,25
vba,25
talend,23
scrum,23
github,22
management,22
d3js,21
nifi,20
diploma,20
ibm,20
mapreduce,20
qliksense,19
golang,19
svn,19
postgresql,18
plsql,18
sqoop,18
storm,17
databricks,16
db,16
