trigrams,count
"('r', 'python', 'sql')",53
"('tableau', 'power', 'bi')",52
"('amazon', 'web', 'services')",51
"('power', 'bi', 'tableau')",50
"('python', 'r', 'sql')",48
"('hadoop', 'hive', 'spark')",47
"('sql', 'python', 'r')",43
"('word', 'excel', 'powerpoint')",41
"('sql', 'r', 'python')",39
"('ms', 'excel', 'ms')",39
"('microsoft', 'power', 'bi')",38
"('power', 'bi', 'sql')",36
"('microsoft', 'office', 'excel')",33
"('google', 'cloud', 'platform')",31
"('office', 'word', 'excel')",31
"('ms', 'office', 'excel')",29
"('sql', 'sql', 'server')",28
"('microsoft', 'sql', 'server')",28
"('python', 'r', 'sas')",26
"('power', 'bi', 'ms')",26
"('r', 'python', 'slq')",25
"('c', 'c++', 'java')",24
"('mapreduce', 'hadoop', 'hive')",24
"('sql', 'server', 'mysql')",22
"('google', 'analytics', 'site')",22
"('analytics', 'site', 'catalyst')",22
"('site', 'catalyst', 'coremetrics')",22
"('catalyst', 'coremetrics', 'adwords')",22
"('coremetrics', 'adwords', 'crimson')",22
"('adwords', 'crimson', 'hexagon')",22
"('crimson', 'hexagon', 'facebook')",22
"('hexagon', 'facebook', 'insights')",22
"('facebook', 'insights', 'mapreduce')",22
"('insights', 'mapreduce', 'hadoop')",22
"('ms', 'sql', 'server')",22
"('microsoft', 'office', 'word')",22
"('ms', 'office', 'word')",22
"('hive', 'spark', 'gurobi')",21
"('spark', 'gurobi', 'mysql')",21
"('python', 'c', 'c++')",21
"('microsoft', 'office', 'suite')",20
"('hadoop', 'spark', 'kafka')",20
"('r', 'python', 'tableau')",19
"('ms', 'power', 'bi')",19
"('office', 'excel', 'powerpoint')",19
"('excel', 'sql', 'tableau')",19
"('bi', 'ms', 'excel')",19
"('excel', 'powerpoint', 'word')",19
"('microsoft', 'excel', 'powerpoint')",19
"('sql', 'python', 'java')",19
"('periscope', 'business', 'objects')",18
"('business', 'objects', 'd3')",18
"('objects', 'd3', 'ggplot')",18
"('ms', 'office', 'ms')",18
"('aws', 'gcp', 'azure')",18
"('tableau', 'r', 'python')",17
"('c++', 'java', 'javascript')",17
"('google', 'data', 'studio')",17
"('server', 'reporting', 'services')",17
"('sql', 'hadoop', 'hive')",17
"('ms', 'word', 'excel')",17
"('power', 'bi', 'python')",17
"('sql', 'server', 'oracle')",17
"('sql', 'google', 'analytics')",16
"('sql', 'server', 'reporting')",16
"('sql', 'ms', 'excel')",16
"('ms', 'excel', 'sql')",16
"('business', 'objects', 'sql')",16
"('excel', 'power', 'bi')",16
"('microsoft', 'office', 'microsoft')",16
"('hadoop', 'spark', 'python')",16
"('c', 'c++', 'python')",16
"('azure', 'data', 'factory')",16
"('r', 'python', 'sas')",15
"('python', 'sql', 'r')",15
"('sql', 'server', 'sql')",15
"('microsoft', 'word', 'excel')",15
"('excel', 'microsoft', 'office')",15
"('sap', 'business', 'objects')",15
"('python', 'r', 'spark')",15
"('python', 'r', 'python')",15
"('aws', 'google', 'cloud')",15
"('r', 'python', 'hadoop')",15
"('r', 'python', 'excel')",15
"('aws', 'cloud', 'services')",15
"('python', 'r', 'hadoop')",14
"('tableau', 'sql', 'sql')",14
"('gurobi', 'mysql', 'periscope')",14
"('mysql', 'periscope', 'business')",14
"('power', 'bi', 'r')",14
"('python', 'java', 'c++')",14
"('microsoft', 'excel', 'sql')",14
"('power', 'bi', 'microsoft')",14
"('web', 'services', 'aws')",14
"('python', 'r', 'c')",14
"('python', 'c++', 'sql')",14
"('python', 'r', 'java')",14
"('r', 'python', 'scala')",13
"('office', 'microsoft', 'excel')",13
"('sql', 'power', 'bi')",13
