trigrams,count
"('r', 'python', 'sql')",10
"('hadoop', 'hive', 'spark')",9
"('sql', 'python', 'r')",9
"('r', 'python', 'slq')",7
"('java', 'script', 'sql')",7
"('google', 'analytics', 'site')",6
"('analytics', 'site', 'catalyst')",6
"('site', 'catalyst', 'coremetrics')",6
"('catalyst', 'coremetrics', 'adwords')",6
"('coremetrics', 'adwords', 'crimson')",6
"('adwords', 'crimson', 'hexagon')",6
"('crimson', 'hexagon', 'facebook')",6
"('hexagon', 'facebook', 'insights')",6
"('facebook', 'insights', 'mapreduce')",6
"('insights', 'mapreduce', 'hadoop')",6
"('mapreduce', 'hadoop', 'hive')",6
"('hive', 'spark', 'gurobi')",6
"('spark', 'gurobi', 'mysql')",6
"('gurobi', 'mysql', 'periscope')",6
"('mysql', 'periscope', 'business')",6
"('periscope', 'business', 'objects')",6
"('business', 'objects', 'd3')",6
"('objects', 'd3', 'ggplot')",6
"('power', 'bi', 'sql')",6
"('word', 'excel', 'powerpoint')",6
"('office', 'word', 'excel')",6
"('sql', 'excel', 'python')",6
"('jenkins', 'python', 'pandas')",6
"('python', 'pandas', 'scipy')",6
"('pandas', 'scipy', 'numpy')",6
"('scipy', 'numpy', 'pyspark')",6
"('hadoop', 'hive', 'hbase')",6
"('hive', 'hbase', 'spark')",6
"('hbase', 'spark', 'flink')",6
"('spark', 'flink', 'presto')",6
"('flink', 'presto', 'superset')",6
"('presto', 'superset', 'alluxio')",6
"('superset', 'alluxio', 'airflow')",6
"('alluxio', 'airflow', 'workbench')",6
"('airflow', 'workbench', 'aws')",6
"('workbench', 'aws', 'job')",6
"('aws', 'job', 'server')",6
"('job', 'server', 'graph')",6
"('server', 'graph', 'database')",6
"('graph', 'database', 'nosql')",6
"('python', 'c++java', 'r')",5
"('c++java', 'r', 'sql')",5
"('r', 'sql', 'elasticsearch')",5
"('sql', 'elasticsearch', 'aws')",5
"('elasticsearch', 'aws', 'linux')",5
"('tableau', 'power', 'bi')",5
"('ms', 'office', 'word')",5
"('tableau', 'sql', 'python')",5
"('sql', 'python', 'apache')",5
"('python', 'apache', 'spark')",5
"('microsoft', 'office', 'excel')",5
"('sql', 'r', 'python')",5
"('r', 'python', 'sas')",5
"('unix', 'linux', 'solaris')",5
"('shell', 'script', 'hadoop')",5
"('script', 'hadoop', 'hive')",5
"('git', 'svn', 'jenkins')",5
"('python', 'r', 'tableau')",5
"('python', 'r', 'python')",4
"('power', 'bi', 'r')",4
"('ms', 'office', 'sql')",4
"('python', 'sql', 'hadoop')",4
"('python', 'r', 'scala')",4
"('rdbms', 'mysql', 'postgresql')",4
"('mysql', 'postgresql', 'nosql')",4
"('sql', 'google', 'analytics')",4
"('excel', 'ms', 'office')",4
"('python', 'r', 'spark')",4
"('eclipse', 'r', 'studio')",4
"('r', 'studio', 'jira')",4
"('studio', 'jira', 'git')",4
"('jira', 'git', 'svn')",4
"('svn', 'jenkins', 'python')",4
"('numpy', 'pyspark', 'scala')",4
"('pyspark', 'scala', 'r')",4
"('scala', 'r', 'java')",4
"('r', 'java', 'java')",4
"('java', 'java', 'script')",4
"('script', 'sql', 'shell')",4
"('sql', 'shell', 'script')",4
"('sas', 'spss', 'r')",3
"('spss', 'r', 'python')",3
"('r', 'python', 'tableau')",3
"('python', 'slq', 'google')",3
"('slq', 'google', 'analytics')",3
"('d3', 'ggplot', 'ms')",3
"('microsoft', 'excel', 'powerpoint')",3
"('excel', 'powerpoint', 'sql')",3
"('ms', 'sql', 'server')",3
"('python', 'scikitlearn', 'r')",3
"('scikitlearn', 'r', 'sas')",3
"('r', 'sas', 'ml')",3
"('sas', 'ml', 'spark')",3
"('ml', 'spark', 'h2o')",3
"('spark', 'h2o', 'hadoop')",3
