trigrams,count
"('ms', 'excel', 'ms')",11
"('amazon', 'web', 'services')",10
"('microsoft', 'power', 'bi')",9
"('power', 'bi', 'sql')",9
"('microsoft', 'excel', 'powerpoint')",9
"('power', 'bi', 'tableau')",9
"('excel', 'ms', 'powerpoint')",8
"('ms', 'office', 'excel')",8
"('sap', 'business', 'objects')",7
"('python', 'r', 'sql')",7
"('sql', 'server', 'reporting')",6
"('server', 'reporting', 'services')",6
"('sql', 'r', 'python')",6
"('tableau', 'power', 'bi')",6
"('microsoft', 'office', 'suite')",6
"('sql', 'python', 'r')",6
"('microsoft', 'office', 'word')",5
"('office', 'word', 'powerpoint')",5
"('power', 'bi', 'ms')",5
"('bi', 'ms', 'excel')",5
"('ms', 'office', 'word')",5
"('power', 'bi', 'microsoft')",5
"('ms', 'sql', 'server')",5
"('web', 'services', 'aws')",5
"('services', 'aws', 'aws')",5
"('word', 'excel', 'powerpoint')",5
"('r', 'python', 'hadoop')",5
"('hadoop', 'hive', 'spark')",5
"('bi', 'sql', 'sql')",4
"('sql', 'sql', 'server')",4
"('reporting', 'services', 'ssrs')",4
"('microsoft', 'excel', 'sql')",4
"('ssrs', 'power', 'bi')",4
"('powerpoint', 'google', 'slides')",4
"('sql', 'sap', 'business')",4
"('power', 'bi', 'oracle')",4
"('microsoft', 'sql', 'server')",4
"('ms', 'office', 'suite')",4
"('office', 'word', 'excel')",4
"('tableau', 'sql', 'python')",4
"('sas', 'tableau', 'r')",4
"('tableau', 'r', 'python')",4
"('python', 'hadoop', 'hive')",4
"('hive', 'spark', 'nosql')",4
"('spark', 'nosql', 'linux')",4
"('excel', 'power', 'bi')",4
"('office', 'suite', 'excel')",4
"('sql', 'microsoft', 'office')",4
"('sql', 'tableau', 'metabase')",4
"('sql', 'server', 'oracle')",4
"('word', 'powerpoint', 'excel')",4
"('bi', 'power', 'bi')",3
"('reports', 'power', 'bi')",3
"('power', 'bi', 'excel')",3
"('google', 'data', 'studio')",3
"('ssrs', 'ssis', 'tableau')",3
"('excel', 'word', 'powerpoint')",3
"('simfund', 'brightscope', 'microsoft')",3
"('brightscope', 'microsoft', 'excel')",3
"('excel', 'powerpoint', 'sql')",3
"('powerpoint', 'sql', '#limc2')",3
"('sql', '#limc2', '#mi')",3
"('bi', 'microsoft', 'power')",3
"('sql', 'sql', 'python')",3
"('office', 'excel', 'powerpoint')",3
"('linux', 'windows', 'operating')",3
"('bi', 'tableau', 'qlikview')",3
"('ms', 'sql', 'ms')",3
"('microsoft', 'word', 'excel')",3
"('office', 'excel', 'microsoft')",3
"('sql', 'python', 'apache')",3
"('python', 'apache', 'spark')",3
"('sql', 'oracle', 'sybase')",3
"('nosql', 'linux', 'sql')",3
"('informatica', 'powercenter', 'sas')",3
"('r', 'python', 'excel')",3
"('microsoft', 'office', 'microsoft')",3
"('microsoft', 'office', 'ms')",3
"('html', 'css', 'javascript')",3
"('microsoft', 'ibm', 'cognos')",3
"('r', 'sql', 'tableau')",3
"('tableau', 'metabase', 'r')",3
"('bi', 'tableau', 'microsoft')",3
"('cloud', 'cognitive', 'java')",3
"('cognitive', 'java', 'xml')",3
"('java', 'xml', 'sql')",3
"('xml', 'sql', 'scripting')",3
"('sql', 'scripting', 'ant')",3
"('oracle', 'informix', 'sql')",3
"('informix', 'sql', 'server')",3
"('server', 'oracle', 'db')",3
"('oracle', 'db', 'java')",3
"('db', 'java', 'programming')",3
"('java', 'programming', 'plsql')",3
"('html', 'xml', 'oracle')",3
"('xml', 'oracle', 'jdedwards')",3
"('office', 'ms', 'office')",3
"('omnichannel', 'crm', 'ms')",3
"('crm', 'ms', 'office')",3
"('excel', 'word', 'power')",3
