trigrams,count
"('microsoft', 'office', 'excel')",5
"('aws', 'gcp', 'azure')",5
"('python', 'r', 'sql')",4
"('power', 'bi', 'tableau')",4
"('r', 'python', 'tableau')",4
"('python', 'tableau', 'agile')",4
"('tableau', 'agile', '')",4
"('agile', '', 'scrum')",4
"('rdbms', 'postgresql', 'mysql')",4
"('postgresql', 'mysql', 'nosql')",4
"('mysql', 'nosql', 'mongodb')",4
"('nosql', 'mongodb', 'elasticsearch')",4
"('mongodb', 'elasticsearch', 'redshift')",4
"('elasticsearch', 'redshift', 'bigquery')",4
"('office', 'excel', 'powerpoint')",3
"('excel', 'powerpoint', 'word')",3
"('vmware', 'sccm', 'ivanti')",3
"('sccm', 'ivanti', 'kace')",3
"('ms', 'excel', 'ms')",3
"('office', 'word', 'excel')",3
"('excel', 'ms', 'office')",3
"('ms', 'office', 'excel')",2
"('ms', 'excel', 'sql')",2
"('word', 'excel', 'powerpoint')",2
"('r', 'sql', 'nosql')",2
"('sql', 'nosql', 'git')",2
"('nosql', 'git', 'linux')",2
"('git', 'linux', 'cloud')",2
"('linux', 'cloud', 'service')",2
"('cloud', 'service', 'aws')",2
"('python', 'pandas', 'spark')",2
"('pandas', 'spark', 'sql')",2
"('spark', 'sql', 'aws')",2
"('sql', 'aws', 'azure')",2
"('aws', 'azure', 'gcp')",2
"('r', 'matlab', 'python')",2
"('matlab', 'python', 'vba')",2
"('python', 'vba', 'sql')",2
"('tableau', 'power', 'bi')",2
"('power', 'bi', 'python')",2
"('bi', 'tableau', 'holistics')",2
"('tableau', 'holistics', 'java')",2
"('holistics', 'java', 'python')",2
"('java', 'python', 'r')",2
"('python', 'r', 'git')",2
"('r', 'git', 'github')",2
"('git', 'github', 'aws')",2
"('excel', 'word', 'powerpoint')",2
"('powerpoint', 'excel', 'ms')",2
"('excel', 'ms', 'excel')",2
"('microsoft', 'active', 'directory')",2
"('active', 'directory', 'unix')",2
"('directory', 'unix', 'linux')",2
"('unix', 'linux', 'vmware')",2
"('linux', 'vmware', 'sccm')",2
"('ivanti', 'kace', 'microsoft')",2
"('kace', 'microsoft', 'sql')",2
"('microsoft', 'sql', 'microsoft')",2
"('sql', 'microsoft', 'powershell')",2
"('microsoft', 'excel', 'ms')",2
"('', 'scrum', 'power')",2
"('scrum', 'power', 'bi')",2
"('power', 'bi', 'rdbms')",2
"('bi', 'rdbms', 'postgresql')",2
"('redshift', 'bigquery', 'aws')",2
"('bigquery', 'aws', 'gcp')",2
"('r', 'sql', 'sql')",2
"('ms', 'office', 'word')",2
"('', 'scrum', 'rdbms')",2
"('scrum', 'rdbms', 'postgresql')",2
"('redshift', 'bigquery', 'power')",2
"('bigquery', 'power', 'bi')",2
"('power', 'bi', 'git')",2
"('bi', 'git', 'jira')",2
"('git', 'jira', 'jenkins')",2
"('jira', 'jenkins', 'airflow')",2
"('jenkins', 'airflow', 'luigi')",2
"('airflow', 'luigi', 'linux')",2
"('luigi', 'linux', 'aws')",2
"('linux', 'aws', 'gcp')",2
"('ms', 'excel', 'python')",2
"('python', 'java', 'sql')",2
"('agricultureaquacultureforestry', 'ms', 'office')",2
"('excel', 'powerpoint', 'ms')",1
"('powerpoint', 'ms', 'excel')",1
"('excel', 'sql', 'microsoft')",1
"('sql', 'microsoft', 'power')",1
"('microsoft', 'power', 'bi')",1
"('power', 'bi', 'sql')",1
"('bi', 'sql', 'python')",1
"('sql', 'python', 'powershell')",1
"('python', 'powershell', 'javascript')",1
"('powershell', 'javascript', 'osisoft')",1
"('javascript', 'osisoft', 'pi')",1
"('osisoft', 'pi', 'salesforce')",1
"('pi', 'salesforce', 'azure')",1
"('salesforce', 'azure', 'aws')",1
"('azure', 'aws', 'rackspace')",1
"('aws', 'rackspace', 'amazon')",1
"('rackspace', 'amazon', 'accounting')",1
