trigrams,count
"('ms', 'office', 'excel')",14
"('tableau', 'power', 'bi')",14
"('word', 'excel', 'powerpoint')",14
"('power', 'bi', 'tableau')",14
"('microsoft', 'office', 'excel')",13
"('ms', 'excel', 'ms')",12
"('microsoft', 'power', 'bi')",12
"('power', 'bi', 'sql')",11
"('ms', 'word', 'excel')",11
"('r', 'python', 'sql')",11
"('excel', 'sql', 'tableau')",10
"('power', 'bi', 'ms')",10
"('office', 'word', 'excel')",9
"('microsoft', 'sql', 'server')",9
"('office', 'excel', 'powerpoint')",8
"('ms', 'office', 'ms')",8
"('excel', 'powerpoint', 'word')",8
"('microsoft', 'office', 'microsoft')",8
"('excel', 'ms', 'excel')",8
"('excel', 'ms', 'office')",7
"('sql', 'ms', 'excel')",7
"('bi', 'ms', 'excel')",7
"('sql', 'hadoop', 'hive')",7
"('excel', 'microsoft', 'office')",7
"('python', 'excel', 'sql')",7
"('ms', 'excel', 'sql')",6
"('sql', 'microsoft', 'excel')",6
"('excel', 'microsoft', 'power')",6
"('sql', 'tableau', 'sql')",6
"('python', 'sql', 'r')",6
"('sql', 'r', 'python')",6
"('python', 'r', 'r')",6
"('r', 'r', 'python')",6
"('ms', 'office', 'word')",6
"('excel', 'power', 'bi')",5
"('power', 'bi', 'r')",5
"('powerpoint', 'word', 'sql')",5
"('office', 'microsoft', 'excel')",5
"('microsoft', 'excel', 'powerpoint')",5
"('office', 'ms', 'excel')",5
"('ms', 'power', 'bi')",5
"('python', 'r', 'sql')",5
"('sql', 'power', 'bi')",5
"('sql', 'excel', 'python')",5
"('python', 'sql', 'excel')",5
"('r', 'python', 'excel')",5
"('', 'microsoft', 'excel')",5
"('excel', 'powerpoint', 'sql')",5
"('tableau', 'microsoft', 'office')",5
"('excel', 'word', 'powerpoint')",5
"('microsoft', 'word', 'excel')",4
"('ms', 'access', 'sql')",4
"('microsoft', 'excel', 'tableau')",4
"('tableau', 'ms', 'excel')",4
"('sql', 'python', 'ms')",4
"('pivot', 'power', 'bi')",4
"('power', 'bi', 'google')",4
"('tableau', 'ms', 'office')",4
"('vba', 'power', 'bi')",4
"('r', 'python', 'hadoop')",4
"('sql', 'python', 'sql')",4
"('python', 'sql', 'matlab')",4
"('sql', 'matlab', 'spss')",4
"('matlab', 'spss', 'stata')",4
"('microsoft', 'excel', 'ms')",4
"('ms', 'sql', 'mysql')",4
"('agile', 'oracle', 'oracle')",4
"('oracle', 'oracle', 'cloud')",4
"('microsoft', 'excel', 'sql')",4
"('', '', 'microsoft')",4
"('excel', 'ms', 'word')",4
"('python', 'ms', 'office')",4
"('sql', 'server', 'python')",4
"('ms', 'word', 'ms')",4
"('power', 'bi', 'python')",4
"('google', 'analytics', 'ms')",4
"('excel', 'ms', 'access')",4
"('google', 'suite', 'ms')",4
"('suite', 'ms', 'word')",4
"('ms', 'word', 'diligent')",4
"('object', 'oriented', 'programming')",4
"('microsoft', 'office', 'suite')",4
"('excel', 'powerpoint', 'ms')",4
"('excel', 'power', 'point')",4
"('ms', 'sql', 'server')",4
"('sql', 'server', 'oracle')",4
"('power', 'bi', '')",4
"('sql', 'server', 'reporting')",4
"('server', 'reporting', 'services')",4
"('bi', 'microsoft', 'power')",4
"('bi', 'tableau', 'qlikview')",4
"('r', 'python', 'tableau')",4
"('power', 'bi', 'power')",4
"('access', 'sql', 'ms')",3
"('office', 'excel', 'access')",3
"('microsoft', 'excel', 'sap')",3
"('business', 'objects', 'sql')",3
"('objects', 'sql', 'excel')",3
"('r', 'sql', 'sql')",3
"('python', 'ms', 'excel')",3
