trigrams,count
"('amazon', 'web', 'services')",10
"('microsoft', 'sql', 'server')",8
"('office', 'word', 'excel')",7
"('aws', 'google', 'cloud')",7
"('microsoft', 'office', 'word')",6
"('word', 'excel', 'powerpoint')",6
"('java', 'scala', 'python')",6
"('google', 'cloud', 'platform')",6
"('web', 'services', 'aws')",6
"('microsoft', 'office', 'excel')",5
"('c', 'c++', 'java')",5
"('windows', 'server', 'linux')",5
"('python', 'scala', 'java')",5
"('hadoop', 'spark', 'linux')",5
"('hadoop', 'spark', 'flink')",5
"('', '', '')",5
"('python', 'sql', 'aws')",4
"('python', 'c', 'c++')",4
"('sql', 'sap', 'microsoft')",4
"('sql', 'server', 'sql')",4
"('kafka', 'hadoop', 'spark')",4
"('hadoop', 'spark', 'kafka')",4
"('python', 'java', 'javascript')",4
"('data', 'lake', 'azure')",4
"('sql', 'python', 'r')",4
"('mongodb', 'hadoop', 'spark')",4
"('c++', 'java', 'python')",4
"('power', 'management', 'bas')",4
"('management', 'bas', 'scada')",4
"('azure', 'google', 'cloud')",4
"('javascript', 'html', 'css')",4
"('java', 'python', 'perl')",4
"('go', 'python', 'java')",4
"('sql', 'python', 'java')",4
"('c', 'xcode', 'ide')",4
"('elasticsearch', 'apache', 'cassandra')",4
"('apache', 'cassandra', 'apache')",4
"('cassandra', 'apache', 'kafka')",4
"('apache', 'kafka', 'java')",4
"('kafka', 'java', '8')",4
"('java', '8', 'golang')",4
"('react', 'mobile', 'android')",4
"('mobile', 'android', 'sdk')",4
"('android', 'sdk', 'kubernetes')",4
"('sdk', 'kubernetes', 'docker')",4
"('microsoft', 'office', '365')",4
"('office', 'excel', 'powerpoint')",3
"('c++', 'java', 'perl')",3
"('java', 'perl', 'python')",3
"('ms', 'word', 'excel')",3
"('impala', 'sqoop', 'spark')",3
"('python', 'sql', 'nosql')",3
"('nosql', 'hadoop', 'java')",3
"('hadoop', 'java', 'scala')",3
"('mysql', 'sql', 'server')",3
"('server', 'sql', 'python')",3
"('python', 'hadoop', 'spark')",3
"('azure', 'data', 'factory')",3
"('java', 'python', 'sql')",3
"('sql', 'sql', 'server')",3
"('linux', 'shell', 'scripting')",3
"('sql', 'graph', 'database')",3
"('graph', 'database', 'nosql')",3
"('database', 'nosql', 'python')",3
"('nosql', 'python', 'pandas')",3
"('python', 'pandas', 'scipy')",3
"('pandas', 'scipy', 'numpy')",3
"('scipy', 'numpy', 'pyspark')",3
"('numpy', 'pyspark', 'pytorch')",3
"('pyspark', 'pytorch', 'spacy')",3
"('pytorch', 'spacy', 'scala')",3
"('spacy', 'scala', 'r')",3
"('scala', 'r', 'java')",3
"('r', 'java', 'java')",3
"('java', 'java', 'script')",3
"('java', 'script', 'shell')",3
"('script', 'shell', 'script')",3
"('shell', 'script', 'eclipse')",3
"('script', 'eclipse', 'r')",3
"('eclipse', 'r', 'studio')",3
"('r', 'studio', 'jira')",3
"('studio', 'jira', 'git')",3
"('jira', 'git', 'svn')",3
"('git', 'svn', 'jenkins')",3
"('spark', 'kafka', 'python')",3
"('rdbms', 'db2', 'oracle')",3
"('db2', 'oracle', 'microsoft')",3
"('oracle', 'microsoft', 'sql')",3
"('sql', 'server', 'informatica')",3
"('server', 'informatica', 'powercentre')",3
"('informatica', 'powercentre', 'oracle')",3
"('powercentre', 'oracle', 'data')",3
"('oracle', 'data', 'integrator')",3
"('data', 'integrator', 'sap')",3
"('integrator', 'sap', 'data')",3
"('sap', 'data', 'services')",3
"('data', 'services', 'ab')",3
"('services', 'ab', 'initio')",3
"('ab', 'initio', 'ibm')",3
"('initio', 'ibm', 'datastage')",3
