trigrams,count
"('r', 'python', 'sql')",41
"('hadoop', 'hive', 'spark')",37
"('python', 'r', 'sql')",35
"('sql', 'python', 'r')",31
"('amazon', 'web', 'services')",29
"('tableau', 'power', 'bi')",29
"('sql', 'r', 'python')",26
"('google', 'cloud', 'platform')",25
"('python', 'r', 'sas')",24
"('r', 'python', 'slq')",24
"('power', 'bi', 'tableau')",24
"('mapreduce', 'hadoop', 'hive')",23
"('google', 'analytics', 'site')",21
"('analytics', 'site', 'catalyst')",21
"('site', 'catalyst', 'coremetrics')",21
"('catalyst', 'coremetrics', 'adwords')",21
"('coremetrics', 'adwords', 'crimson')",21
"('adwords', 'crimson', 'hexagon')",21
"('crimson', 'hexagon', 'facebook')",21
"('hexagon', 'facebook', 'insights')",21
"('facebook', 'insights', 'mapreduce')",21
"('insights', 'mapreduce', 'hadoop')",21
"('hive', 'spark', 'gurobi')",20
"('spark', 'gurobi', 'mysql')",20
"('c', 'c++', 'java')",19
"('sql', 'sql', 'server')",18
"('sql', 'server', 'mysql')",17
"('periscope', 'business', 'objects')",17
"('business', 'objects', 'd3')",17
"('objects', 'd3', 'ggplot')",17
"('python', 'c', 'c++')",17
"('microsoft', 'power', 'bi')",16
"('word', 'excel', 'powerpoint')",16
"('c', 'c++', 'python')",16
"('power', 'bi', 'sql')",15
"('r', 'python', 'sas')",15
"('c++', 'java', 'javascript')",15
"('hadoop', 'spark', 'python')",15
"('python', 'r', 'python')",15
"('r', 'python', 'tableau')",14
"('ms', 'power', 'bi')",14
"('python', 'r', 'c')",14
"('python', 'c++', 'sql')",14
"('hadoop', 'spark', 'kafka')",14
"('python', 'r', 'spark')",14
"('r', 'python', 'scala')",13
"('tableau', 'r', 'python')",13
"('gurobi', 'mysql', 'periscope')",13
"('mysql', 'periscope', 'business')",13
"('sql', 'google', 'analytics')",13
"('google', 'data', 'studio')",13
"('r', 'c', 'c++')",13
"('aws', 'gcp', 'azure')",13
"('python', 'r', 'java')",13
"('microsoft', 'office', 'excel')",13
"('ms', 'excel', 'ms')",13
"('python', 'r', 'hadoop')",12
"('r', 'sas', 'c')",12
"('javascript', 'google', 'analytics')",12
"('ms', 'sql', 'server')",12
"('sql', 'python', 'java')",12
"('sql', 'nosql', 'python')",12
"('hadoop', 'spark', 'hive')",12
"('python', 'java', 'c++')",12
"('tableau', 'sql', 'sql')",11
"('java', 'javascript', 'google')",11
"('hive', 'hadoop', 'spark')",11
"('c++', 'sql', 'elasticsearch')",11
"('scikitlearn', 'pandas', 'numpy')",11
"('power', 'bi', 'ms')",11
"('office', 'word', 'excel')",11
"('spark', 'r', 'python')",10
"('server', 'mysql', 'python')",10
"('mysql', 'python', 'r')",10
"('tensorflow', 'keras', 'sql')",10
"('scala', 'tableau', 'sql')",10
"('stata', 'nosql', 'hive')",10
"('nosql', 'hive', 'hadoop')",10
"('spark', 'python', 'tableau')",10
"('python', 'tableau', 'cognos')",10
"('tableau', 'cognos', 'power')",10
"('cognos', 'power', 'bi')",10
"('power', 'bi', 'pyspark')",10
"('bi', 'pyspark', 'mlops')",10
"('pyspark', 'mlops', 'scala')",10
"('mlops', 'scala', 'alteryx')",10
"('scala', 'alteryx', 'presto')",10
"('jupyter', 'notebook', 'scikitlearn')",10
"('notebook', 'scikitlearn', 'pandas')",10
"('azure', 'data', 'factory')",10
"('business', 'objects', 'sql')",10
"('r', 'hadoop', 'spark')",9
"('web', 'services', 'linux')",9
"('excel', 'sql', 'r')",9
"('r', 'python', 'rapidminer')",9
"('matplotlib', 'scikit', 'pandas')",9
"('scikit', 'pandas', 'tensorflow')",9
"('pandas', 'tensorflow', 'keras')",9
"('keras', 'sql', 'python')",9
"('python', 'sql', 'r')",9
