trigrams,count
"('python', 'r', 'sql')",15
"('tableau', 'power', 'bi')",14
"('sql', 'python', 'r')",13
"('power', 'bi', 'tableau')",12
"('amazon', 'web', 'services')",11
"('power', 'bi', 'python')",11
"('ms', 'excel', 'ms')",11
"('google', 'cloud', 'platform')",10
"('python', 'sql', 'java')",10
"('jupyter', 'notebook', 'scikitlearn')",10
"('notebook', 'scikitlearn', 'pandas')",10
"('microsoft', 'office', 'excel')",10
"('aws', 'cloud', 'services')",9
"('sql', 'tableau', 'metabase')",9
"('sql', 'google', 'analytics')",9
"('scikitlearn', 'pandas', 'numpy')",9
"('sql', 'server', 'oracle')",9
"('web', 'services', 'aws')",8
"('meaningful', 'beautiful', 'dashboards')",8
"('hadoop', 'hive', 'spark')",8
"('aws', 'gcp', 'azure')",8
"('1982', 'africa', 'brazil')",8
"('africa', 'brazil', 'china')",8
"('office', 'excel', 'powerpoint')",8
"('excel', 'powerpoint', 'word')",8
"('word', 'excel', 'powerpoint')",8
"('tableau', 'metabase', 'r')",7
"('google', 'analytics', 'site')",7
"('analytics', 'site', 'catalyst')",7
"('site', 'catalyst', 'coremetrics')",7
"('catalyst', 'coremetrics', 'adwords')",7
"('coremetrics', 'adwords', 'crimson')",7
"('adwords', 'crimson', 'hexagon')",7
"('crimson', 'hexagon', 'facebook')",7
"('hexagon', 'facebook', 'insights')",7
"('facebook', 'insights', 'mapreduce')",7
"('insights', 'mapreduce', 'hadoop')",7
"('mapreduce', 'hadoop', 'hive')",7
"('hive', 'spark', 'gurobi')",7
"('spark', 'gurobi', 'mysql')",7
"('sql', 'power', 'bi')",7
"('excel', 'microsoft', 'office')",7
"('google', 'cloud', 'product')",7
"('microsoft', 'sql', 'server')",7
"('hadoop', 'spark', 'kafka')",7
"('pandas', 'numpy', 'python')",7
"('numpy', 'python', 'r')",7
"('office', 'word', 'excel')",7
"('microsoft', 'power', 'bi')",7
"('rdbms', 'mysql', 'postgresql')",6
"('mysql', 'postgresql', 'nosql')",6
"('mysql', 'sql', 'server')",6
"('bi', 'python', 'r')",6
"('python', 'java', 'javascript')",6
"('excel', 'ms', 'access')",6
"('ms', 'office', 'excel')",6
"('excel', 'power', 'point')",6
"('google', 'data', 'studio')",6
"('excel', 'sql', 'tableau')",6
"('sql', 'macros', 'pivot')",6
"('macros', 'pivot', 'tables')",6
"('pivot', 'tables', 'powerpivot')",6
"('tables', 'powerpivot', 'excel')",6
"('sql', 'server', 'mysql')",6
"('microsoft', 'office', 'word')",6
"('ms', 'sql', 'server')",6
"('java', 'python', 'r')",5
"('sql', 'r', 'python')",5
"('r', 'python', 'matlab')",5
"('metabase', 'r', 'python')",5
"('ms', 'excel', 'sql')",5
"('sql', 'hive', 'teradata')",5
"('hive', 'teradata', 'mysql')",5
"('teradata', 'mysql', 'spark')",5
"('mysql', 'spark', 'pyspark')",5
"('spark', 'pyspark', 'r')",5
"('pyspark', 'r', 'python')",5
"('r', 'sql', 'postgre')",5
"('sql', 'postgre', 'bigquery')",5
"('r', 'python', 'slq')",5
"('gurobi', 'mysql', 'periscope')",5
"('mysql', 'periscope', 'business')",5
"('periscope', 'business', 'objects')",5
"('business', 'objects', 'd3')",5
"('objects', 'd3', 'ggplot')",5
"('r', 'python', 'tableau')",5
"('linux', 'aws', 'gcp')",5
"('git', 'html', 'css')",5
"('sql', 'python', 'java')",5
"('ms', 'access', 'tableau')",5
"('excel', 'python', 'google')",5
"('aws', 'azure', 'alicloud')",5
"('linux', 'unix', 'python')",5
"('python', 'sql', 'excel')",5
"('tableau', 'python', 'r')",5
"('cloud', 'product', 'python')",5
"('product', 'python', 'sql')",5
"('sql', 'java', 'golang')",5
"('microsoft', 'excel', 'sql')",5
"('object', 'oriented', 'programming')",5
