trigrams,count
"('amazon', 'web', 'services')",33
"('python', 'r', 'sql')",18
"('word', 'excel', 'powerpoint')",15
"('power', 'bi', 'tableau')",15
"('tableau', 'power', 'bi')",14
"('sql', 'python', 'r')",12
"('google', 'cloud', 'platform')",12
"('hadoop', 'hive', 'spark')",12
"('python', 'java', 'c++')",12
"('microsoft', 'office', 'word')",11
"('office', 'word', 'excel')",11
"('microsoft', 'sql', 'server')",10
"('web', 'services', 'linux')",9
"('hadoop', 'mapreduce', 'hive')",9
"('power', 'bi', 'sql')",9
"('hadoop', 'spark', 'kafka')",9
"('python', 'r', 'java')",9
"('python', 'r', 'sas')",8
"('mapreduce', 'hive', 'yarn')",8
"('hive', 'yarn', 'oracle')",8
"('yarn', 'oracle', 'db')",8
"('microsoft', 'office', 'excel')",8
"('java', 'c++', 'scala')",8
"('microsoft', 'power', 'bi')",8
"('sql', 'sql', 'server')",8
"('web', 'services', 'aws')",8
"('hadoop', 'spark', 'python')",8
"('sql', 'server', 'oracle')",8
"('python', 'r', 'hadoop')",7
"('r', 'python', 'sql')",7
"('sql', 'sql', 'python')",7
"('microsoft', 'office', 'suite')",7
"('hive', 'hadoop', 'spark')",7
"('', '', 'python')",7
"('python', 'c', 'c++')",7
"('python', 'sql', 'java')",7
"('hadoop', 'spark', 'hive')",7
"('java', 'python', 'python')",6
"('r', 'python', 'slq')",6
"('spark', 'r', 'python')",6
"('ms', 'sql', 'server')",6
"('microsoft', 'excel', 'powerpoint')",6
"('sql', 'plsql', 'amazon')",6
"('plsql', 'amazon', 'web')",6
"('business', 'objects', 'sql')",6
"('microsoft', 'word', 'excel')",6
"('spark', 'sql', 'hadoop')",6
"('sql', 'hadoop', 'hive')",6
"('hive', 'spark', 'sql')",6
"('python', 'c++', 'sql')",6
"('scikitlearn', 'keras', 'tensorflow')",6
"('keras', 'tensorflow', 'sql')",6
"('excel', 'power', 'bi')",6
"('html', 'css', 'javascript')",6
"('qlik', 'power', 'bi')",6
"('google', 'cloud', 'product')",6
"('mapreduce', 'hadoop', 'hive')",5
"('google', 'data', 'studio')",5
"('sql', 'server', 'sql')",5
"('server', 'reporting', 'services')",5
"('pandas', 'numpy', 'python')",5
"('ms', 'office', 'excel')",5
"('ms', 'office', 'ms')",5
"('sql', 'power', 'bi')",5
"('power', 'bi', 'r')",5
"('sql', 'presto', 'hive')",5
"('stata', 'nosql', 'hive')",5
"('nosql', 'hive', 'hadoop')",5
"('spark', 'python', 'tableau')",5
"('python', 'tableau', 'cognos')",5
"('tableau', 'cognos', 'power')",5
"('cognos', 'power', 'bi')",5
"('power', 'bi', 'pyspark')",5
"('bi', 'pyspark', 'mlops')",5
"('pyspark', 'mlops', 'scala')",5
"('mlops', 'scala', 'alteryx')",5
"('scala', 'alteryx', 'presto')",5
"('python', 'sql', 'scikitlearn')",5
"('python', 'pyspark', 'spark')",5
"('pyspark', 'spark', 'sql')",5
"('hadoop', 'hive', 'hdfs')",5
"('hive', 'hdfs', 'pig')",5
"('hdfs', 'pig', 'linux')",5
"('sql', 'apache', 'nifi')",5
"('apache', 'nifi', 'storm')",5
"('scala', 'spark', 'hadoop')",5
"('sql', 'python', 'java')",5
"('python', 'sql', 'r')",5
"('sql', 'r', 'python')",5
"('python', 'r', 'tableau')",5
"('c', 'c++', 'tensorflow')",5
"('r', 'python', 'excel')",5
"('mysql', 'ms', 'sql')",5
"('windows', 'server', 'linux')",5
"('linux', 'shell', 'scripting')",5
"('sap', 'business', 'objects')",5
"('python', 'hadoop', 'spark')",5
"('go', 'python', 'java')",5
"('ms', 'excel', 'ms')",5
"('linux', 'unix', 'python')",5
