trigrams,count
"('amazon', 'web', 'services')",31
"('hadoop', 'hive', 'spark')",23
"('word', 'excel', 'powerpoint')",23
"('power', 'bi', 'sql')",20
"('ms', 'excel', 'ms')",20
"('microsoft', 'power', 'bi')",18
"('tableau', 'power', 'bi')",18
"('office', 'word', 'excel')",18
"('sql', 'sql', 'server')",17
"('ms', 'office', 'excel')",17
"('power', 'bi', 'ms')",17
"('r', 'python', 'slq')",16
"('c++', 'java', 'javascript')",16
"('microsoft', 'office', 'word')",16
"('power', 'bi', 'tableau')",16
"('microsoft', 'office', 'excel')",15
"('c', 'c++', 'java')",14
"('google', 'analytics', 'site')",14
"('analytics', 'site', 'catalyst')",14
"('site', 'catalyst', 'coremetrics')",14
"('catalyst', 'coremetrics', 'adwords')",14
"('coremetrics', 'adwords', 'crimson')",14
"('adwords', 'crimson', 'hexagon')",14
"('crimson', 'hexagon', 'facebook')",14
"('hexagon', 'facebook', 'insights')",14
"('facebook', 'insights', 'mapreduce')",14
"('insights', 'mapreduce', 'hadoop')",14
"('mapreduce', 'hadoop', 'hive')",14
"('hive', 'spark', 'gurobi')",14
"('spark', 'gurobi', 'mysql')",14
"('sql', 'r', 'python')",14
"('sql', 'server', 'mysql')",13
"('microsoft', 'excel', 'powerpoint')",13
"('google', 'cloud', 'platform')",12
"('periscope', 'business', 'objects')",12
"('business', 'objects', 'd3')",12
"('objects', 'd3', 'ggplot')",12
"('ms', 'power', 'bi')",12
"('ms', 'office', 'ms')",12
"('bi', 'ms', 'excel')",12
"('ms', 'office', 'word')",12
"('java', 'javascript', 'google')",11
"('javascript', 'google', 'analytics')",11
"('ms', 'sql', 'server')",11
"('server', 'reporting', 'services')",11
"('sql', 'ms', 'excel')",11
"('excel', 'powerpoint', 'word')",11
"('microsoft', 'office', 'suite')",11
"('sql', 'python', 'r')",10
"('web', 'services', 'linux')",10
"('excel', 'sql', 'r')",10
"('tableau', 'sql', 'sql')",10
"('server', 'mysql', 'python')",10
"('mysql', 'python', 'r')",10
"('python', 'r', 'sql')",10
"('sql', 'server', 'reporting')",10
"('ms', 'access', 'sql')",10
"('sql', 'microsoft', 'excel')",10
"('business', 'objects', 'sql')",10
"('excel', 'power', 'bi')",10
"('ms', 'word', 'excel')",10
"('bi', 'power', 'bi')",10
"('power', 'bi', 'microsoft')",10
"('matplotlib', 'scikit', 'pandas')",9
"('scikit', 'pandas', 'tensorflow')",9
"('pandas', 'tensorflow', 'keras')",9
"('tensorflow', 'keras', 'sql')",9
"('keras', 'sql', 'python')",9
"('google', 'data', 'studio')",9
"('microsoft', 'word', 'excel')",9
"('office', 'excel', 'powerpoint')",9
"('ms', 'excel', 'sql')",9
"('microsoft', 'office', 'microsoft')",9
"('sap', 'business', 'objects')",9
"('office', 'word', 'powerpoint')",9
"('r', 'python', 'sas')",8
"('python', 'r', 'sas')",8
"('r', 'python', 'sql')",8
"('gurobi', 'mysql', 'periscope')",8
"('mysql', 'periscope', 'business')",8
"('css', 'javascript', 'jquery')",8
"('hadoop', 'mapreduce', 'hive')",8
"('mapreduce', 'hive', 'yarn')",8
"('hive', 'yarn', 'oracle')",8
"('yarn', 'oracle', 'db')",8
"('office', 'microsoft', 'excel')",8
"('hive', 'spark', 'ml')",8
"('ssrs', 'power', 'bi')",8
"('excel', 'word', 'powerpoint')",8
"('power', 'bi', 'oracle')",8
"('cloud', 'platform', 'bigquery')",7
"('sql', 'r', 'sas')",7
"('hadoop', 'cassandra', 'spark')",7
"('cassandra', 'spark', 'certificates')",7
"('spark', 'certificates', 'agile')",7
"('certificates', 'agile', 'r')",7
"('agile', 'r', 'c')",7
"('r', 'c', 'java')",7
"('c', 'java', 'python')",7
"('java', 'python', 'mongodb')",7
