trigrams,count
"('microsoft', 'power', 'bi')",20
"('tableau', 'power', 'bi')",19
"('power', 'bi', 'tableau')",19
"('sql', 'python', 'r')",18
"('hadoop', 'hive', 'spark')",17
"('python', 'r', 'sql')",16
"('ms', 'excel', 'ms')",16
"('sql', 'sql', 'server')",14
"('python', 'c', 'c++')",14
"('power', 'bi', 'ms')",13
"('tableau', 'sql', 'sql')",12
"('power', 'bi', 'sql')",12
"('microsoft', 'office', 'excel')",12
"('microsoft', 'sql', 'server')",12
"('google', 'cloud', 'platform')",11
"('python', 'r', 'sas')",11
"('ms', 'power', 'bi')",11
"('sql', 'server', 'mysql')",10
"('server', 'mysql', 'python')",10
"('mysql', 'python', 'r')",10
"('word', 'excel', 'powerpoint')",10
"('azure', 'data', 'factory')",10
"('r', 'python', 'slq')",9
"('sql', 'r', 'python')",9
"('c', 'c++', 'python')",9
"('bi', 'ms', 'excel')",8
"('ms', 'word', 'excel')",8
"('microsoft', 'office', 'suite')",8
"('r', 'python', 'sql')",8
"('python', 'c++', 'sql')",8
"('c++', 'sql', 'elasticsearch')",8
"('ms', 'sql', 'server')",8
"('power', 'bi', 'python')",8
"('c', 'c++', 'java')",7
"('c++', 'java', 'javascript')",7
"('google', 'analytics', 'site')",7
"('analytics', 'site', 'catalyst')",7
"('site', 'catalyst', 'coremetrics')",7
"('catalyst', 'coremetrics', 'adwords')",7
"('coremetrics', 'adwords', 'crimson')",7
"('adwords', 'crimson', 'hexagon')",7
"('crimson', 'hexagon', 'facebook')",7
"('hexagon', 'facebook', 'insights')",7
"('facebook', 'insights', 'mapreduce')",7
"('insights', 'mapreduce', 'hadoop')",7
"('mapreduce', 'hadoop', 'hive')",7
"('google', 'data', 'studio')",7
"('ms', 'office', 'excel')",7
"('office', 'excel', 'powerpoint')",7
"('ms', 'access', 'sql')",7
"('excel', 'ms', 'excel')",7
"('ms', 'excel', 'sql')",7
"('sql', 'server', 'reporting')",7
"('server', 'reporting', 'services')",7
"('hadoop', 'spark', 'python')",7
"('sql', 'server', 'sql')",7
"('1982', 'africa', 'brazil')",7
"('africa', 'brazil', 'china')",7
"('bi', 'python', 'r')",7
"('bi', 'microsoft', 'power')",7
"('microsoft', 'excel', 'google')",7
"('ms', 'office', 'word')",7
"('power', 'bi', '')",7
"('bi', 'visual', 'analytics')",7
"('visual', 'analytics', 'tool')",7
"('analytics', 'tool', 'tableau')",7
"('tool', 'tableau', 'sql')",7
"('hive', 'spark', 'gurobi')",6
"('spark', 'gurobi', 'mysql')",6
"('r', 'python', 'sas')",6
"('sql', 'excel', 'excel')",6
"('microsoft', 'word', 'excel')",6
"('excel', 'sql', 'tableau')",6
"('sql', 'ms', 'excel')",6
"('microsoft', 'excel', 'sql')",6
"('ssrs', 'power', 'bi')",6
"('power', 'bi', 'microsoft')",6
"('bi', 'power', 'bi')",6
"('nosql', 'mongodb', 'cassandra')",6
"('python', 'r', 'c')",6
"('r', 'c', 'c++')",6
"('python', 'r', 'spark')",6
"('python', 'r', 'python')",6
"('sql', 'nosql', 'python')",6
"('tableau', 'python', 'sql')",6
"('r', 'python', 'excel')",6
"('python', 'r', 'ms')",6
"('sql', 'hadoop', 'hive')",6
"('excel', 'google', 'office')",6
"('google', 'office', 'suite')",6
"('office', 'suite', 'google')",6
"('suite', 'google', 'docs')",6
"('google', 'docs', 'google')",6
"('docs', 'google', 'sheets')",6
"('sfm', 'crm', 'leads')",6
"('crm', 'leads', 'pay')",6
"('leads', 'pay', 'cpm')",6
"('power', 'bi', 'power')",6
"('r', 'r', 'python')",5
"('r', 'python', 'rapidminer')",5
